公司代码,公司简称,发函日期,函件类别,函件内容,公司回复
851.0,高鸿股份,2023-2-1,关注函,LSD000851177312.pdf,LSD000851177312103535HF.pdf
2751.0,*ST易尚,2023-2-1,关注函,LSD002751177269.pdf,
976.0,华铁股份,2023-2-1,关注函,LSD000976177303.pdf,LSD000976177303103518HF.pdf
2721.0,金一文化,2023-2-1,关注函,LSD002721177266.pdf,LSD002721177266103537HF.pdf
961.0,中南建设,2023-2-1,关注函,LSD000961177271.pdf,LSD000961177271103564HF.pdf
2564.0,天沃科技,2023-2-1,关注函,LSD002564177265.pdf,LSD002564177265103523HF.pdf
667.0,美好置业,2023-2-1,关注函,LSD000667177288.pdf,LSD000667177288103524HF.pdf
656.0,金科股份,2023-2-1,关注函,LSD000656177293.pdf,LSD000656177293103521HF.pdf
38.0,*ST大通,2023-1-31,关注函,LSD000038177313.pdf,LSD000038177313103577HF.pdf
2024.0,ST易购,2023-1-31,关注函,LSD002024177275.pdf,LSD002024177275103548HF.pdf
2122.0,ST天马,2023-1-31,关注函,LSD002122177308.pdf,LSD002122177308103575HF.pdf
2719.0,麦趣尔,2023-1-31,关注函,LSD002719177298.pdf,LSD002719177298103514HF.pdf
2200.0,ST交投,2023-1-31,关注函,LSD002200177276.pdf,LSD002200177276103549HF.pdf
616.0,ST海投,2023-1-31,关注函,LSD000616177055.pdf,LSD000616177055103550HF.pdf
890.0,法尔胜,2023-1-31,关注函,LSD000890177300.pdf,LSD000890177300103560HF.pdf
692.0,惠天热电,2023-1-31,关注函,LSD000692177294.pdf,LSD000692177294103579HF.pdf
2211.0,ST宏达,2023-1-31,关注函,LSD002211177302.pdf,LSD002211177302103513HF.pdf
56.0,皇庭国际,2023-1-31,关注函,LSD000056177270.pdf,LSD000056177270103517HF.pdf
995.0,*ST皇台,2023-1-31,关注函,LSD000995177253.pdf,LSD000995177253103546HF.pdf
711.0,京蓝科技,2023-1-31,关注函,LSD000711177268.pdf,LSD000711177268103539HF.pdf
2146.0,荣盛发展,2023-1-31,关注函,LSD002146177273.pdf,LSD002146177273103538HF.pdf
2086.0,ST东洋,2023-1-31,关注函,LSD002086177254.pdf,LSD002086177254103520HF.pdf
415.0,渤海租赁,2023-1-31,关注函,LSD000415177295.pdf,
2157.0,正邦科技,2023-1-31,关注函,LSD002157177255.pdf,LSD002157177255103519HF.pdf
2816.0,和科达,2023-1-31,关注函,LSD002816177301.pdf,
2740.0,ST爱迪尔,2023-1-31,关注函,LSD002740177262.pdf,LSD002740177262103545HF.pdf
2177.0,*ST御银,2023-1-31,关注函,LSD002177177290.pdf,LSD002177177290103559HF.pdf
