,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
278,600519.SH,20220104,2055,2068.95,2014,2051.23,2050,1.23,0.06,33842.62,6913653.122
277,600519.SH,20220105,2045,2065,2018,2024,2051.23,-27.23,-1.3275,28395.51,5774992.117
276,600519.SH,20220106,2022.01,2036,1938.51,1982.22,2024,-41.78,-2.0642,51794.75,10226933.85
275,600519.SH,20220107,1975,1988.88,1939.32,1942,1982.22,-40.22,-2.029,29816.69,5831695.311
274,600519.SH,20220110,1928.01,1977,1917.55,1966,1942,24,1.2358,29626.7,5792738.145
273,600519.SH,20220111,1948,1965,1931.17,1940.55,1966,-25.45,-1.2945,22276.64,4332180.604
272,600519.SH,20220112,1948,1978.8,1948,1967,1940.55,26.45,1.363,27474.1,5384359.628
271,600519.SH,20220113,1964.82,1967.99,1865.56,1877.39,1967,-89.61,-4.5557,56747.35,10781720.54
270,600519.SH,20220114,1877.39,1893,1863,1867,1877.39,-10.39,-0.5534,29321.64,5506186.026
269,600519.SH,20220117,1868,1878.3,1835.34,1861.61,1867,-5.39,-0.2887,27353.82,5074077.665
268,600519.SH,20220118,1861.68,1908.85,1852,1892.27,1861.61,30.66,1.647,31215.77,5906705.861
267,600519.SH,20220119,1919,1919,1888.88,1912,1892.27,19.73,1.0427,26370.94,5026993.463
266,600519.SH,20220120,1916,1979.99,1916,1969.52,1912,57.52,3.0084,34013.91,6665294.954
265,600519.SH,20220121,1960,1993.49,1951.01,1984.99,1969.52,15.47,0.7855,30812.58,6091427.695
264,600519.SH,20220124,1955,1984,1931.44,1950.2,1984.99,-34.79,-1.7527,23985.8,4685441.775
263,600519.SH,20220125,1943,1966,1931,1943,1950.2,-7.2,-0.3692,25510.12,4971078.498
262,600519.SH,20220126,1942.04,1969,1919,1955,1943,12,0.6176,23905.13,4655706.528
261,600519.SH,20220127,2001.01,2010.82,1952,1965,1955,10,0.5115,42665.16,8450329.058
260,600519.SH,20220128,1955,1968,1880.01,1887,1965,-78,-3.9695,41020.11,7889492.895
259,600519.SH,20220207,1900.99,1913.56,1850,1867.96,1887,-19.04,-1.009,35150.42,6601799.703
258,600519.SH,20220208,1868.88,1872.87,1790,1839,1867.96,-28.96,-1.5504,41713.06,7585130.459
257,600519.SH,20220209,1839.09,1908,1826.97,1895.98,1839,56.98,3.0984,33884.79,6346699.784
256,600519.SH,20220210,1900,1905.9,1857.39,1873,1895.98,-22.98,-1.212,23031.83,4315456.868
255,600519.SH,20220211,1857,1900.79,1841,1849.97,1873,-23.03,-1.2296,33746.49,6296909.575
254,600519.SH,20220214,1840,1877,1837.31,1868.67,1849.97,18.7,1.0108,20195.87,3762313.349
253,600519.SH,20220215,1868.8,1911,1859,1890.62,1868.67,21.95,1.1746,27105.86,5131842.112
252,600519.SH,20220216,1900,1907,1888,1892.55,1890.62,1.93,0.1021,14586.85,2769034.316
251,600519.SH,20220217,1900.61,1911.48,1881,1886.99,1892.55,-5.56,-0.2938,18213.66,3450265.032
250,600519.SH,20220218,1877.63,1907.98,1865.66,1907,1886.99,20.01,1.0604,19385.49,3670339.742
249,600519.SH,20220221,1900,1906.9,1868.95,1876.99,1907,-30.01,-1.5737,20815.73,3920377.358
248,600519.SH,20220222,1860.01,1861,1800.02,1807.87,1876.99,-69.12,-3.6825,52298.81,9473992.638
247,600519.SH,20220223,1811.41,1834,1800.08,1827.01,1807.87,19.14,1.0587,28111.61,5118197.82
246,600519.SH,20220224,1808,1813.99,1748.1,1764.11,1827.01,-62.9,-3.4428,65359.25,11578557.08
245,600519.SH,20220225,1775,1808.28,1775,1799.06,1764.11,34.95,1.9812,38979.13,6999524.161
