,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
88,002032.SZ,20221020,44.51,45.01,44.04,44.07,44.8,-0.73,-1.6295,10885.33,48387.059
87,002032.SZ,20221021,44.19,44.2,42.6,42.91,44.07,-1.16,-2.6322,16076.06,69474.71
86,002032.SZ,20221024,42.77,42.77,41.3,42,42.91,-0.91,-2.1207,18637.87,77858.159
85,002032.SZ,20221025,41.64,43.06,40.82,42.2,42,0.2,0.4762,19051.88,79833.549
84,002032.SZ,20221026,42.2,43.16,42.14,42.27,42.2,0.07,0.1659,13966.85,59611.666
83,002032.SZ,20221027,42.07,42.26,41.58,41.84,42.27,-0.43,-1.0173,8361.03,34999.321
82,002032.SZ,20221028,41.7,41.83,40.75,40.85,41.84,-0.99,-2.3662,9016.96,37079.237
81,002032.SZ,20221031,40.6,41.27,40,40.01,40.85,-0.84,-2.0563,11262.86,45485.24
80,002032.SZ,20221101,40.06,41.5,40.06,41.5,40.01,1.49,3.7241,13862.04,56531.19
79,002032.SZ,20221102,41.5,42.4,41,41.66,41.5,0.16,0.3855,10592.53,44179.545
78,002032.SZ,20221103,41.68,41.85,41.08,41.76,41.66,0.1,0.24,7484.37,31061.713
77,002032.SZ,20221104,41.51,43.1,41.48,42.96,41.76,1.2,2.8736,19275.35,82083.713
76,002032.SZ,20221107,42.96,43.35,42.3,43,42.96,0.04,0.0931,14819.27,63397.769
75,002032.SZ,20221108,42.89,43,42.21,42.6,43,-0.4,-0.9302,9742.79,41330.495
74,002032.SZ,20221109,42.78,43.45,42.45,42.52,42.6,-0.08,-0.1878,8129.55,34858.345
73,002032.SZ,20221110,42.18,42.8,42,42.65,42.52,0.13,0.3057,6567.94,27913.887
72,002032.SZ,20221111,43.4,44.79,42.9,43.87,42.65,1.22,2.8605,16701.21,72881.635
71,002032.SZ,20221114,44.18,45.6,44.14,44.77,43.87,0.9,2.0515,16361.12,73622.664
70,002032.SZ,20221115,44.75,45.75,44.3,45.53,44.77,0.76,1.6976,16115.97,73161.35
69,002032.SZ,20221116,45.53,46.2,45.44,45.6,45.53,0.07,0.1537,9509.97,43567.413
68,002032.SZ,20221117,45.68,46.19,45.3,46.11,45.6,0.51,1.1184,10057.49,46100.92
67,002032.SZ,20221118,46.11,46.47,45.27,45.3,46.11,-0.81,-1.7567,9445.91,43173.514
66,002032.SZ,20221121,45.25,45.57,44.36,45.48,45.3,0.18,0.3974,13759.87,61928.554
65,002032.SZ,20221122,45.32,45.93,44.71,44.85,45.48,-0.63,-1.3852,8718.09,39227.085
64,002032.SZ,20221123,44.99,45.07,44.13,44.46,44.85,-0.39,-0.8696,9015.26,40168.93
63,002032.SZ,20221124,44.47,45.27,44.17,44.98,44.46,0.52,1.1696,6739.31,30187.692
62,002032.SZ,20221125,45.19,46.13,44.57,45.18,44.98,0.2,0.4446,8857.37,40196.227
61,002032.SZ,20221128,45,45.15,44.2,45.08,45.18,-0.1,-0.2213,9361.53,41923.38
60,002032.SZ,20221129,45.46,46.73,45.35,46.19,45.08,1.11,2.4623,13444.33,61929.544
59,002032.SZ,20221130,46.03,46.66,45.51,45.83,46.19,-0.36,-0.7794,17232.38,79203.385
58,002032.SZ,20221201,46.2,46.93,46.06,46.72,45.83,0.89,1.942,14184.86,66168.743
57,002032.SZ,20221202,46.68,47.2,46.57,46.89,46.72,0.17,0.3639,12086.93,56659.292
56,002032.SZ,20221205,47,48.38,46.89,48.22,46.89,1.33,2.8364,19380.73,93044.264
55,002032.SZ,20221206,46.97,47.85,45.38,47.2,46.97,0.23,0.4897,24523.3,115632.396
54,002032.SZ,20221207,47.2,47.55,46.5,47.15,47.2,-0.05,-0.1059,9685.29,45618.429
53,002032.SZ,20221208,47.2,47.75,46.9,47.49,47.15,0.34,0.7211,10025.09,47534.702
52,002032.SZ,20221209,47.5,49.6,47.21,49.5,47.49,2.01,4.2325,24816.52,121037.426
51,002032.SZ,20221212,49.04,49.8,48.77,49.38,49.5,-0.12,-0.2424,14910.22,73626.562
50,002032.SZ,20221213,48.69,49.99,48.69,49.66,49.38,0.28,0.567,13071.72,64595.165
49,002032.SZ,20221214,49.25,50.6,49.11,50.25,49.66,0.59,1.1881,24729.9,123644.07
