,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
278,002594.SZ,20220104,276,279.45,265.22,271,268.12,2.88,1.0741,244660.89,6673692.547
277,002594.SZ,20220105,264.55,266.48,251.72,253.26,271,-17.74,-6.5461,301708.91,7725244.308
276,002594.SZ,20220106,250,254.53,247.89,250.02,253.26,-3.24,-1.2793,175907.84,4396413.606
275,002594.SZ,20220107,251.8,252.96,245,246.5,250.02,-3.52,-1.4079,161933.55,4009535.493
274,002594.SZ,20220110,245,249.47,239.03,246.3,246.5,-0.2,-0.0811,162141.82,3964485.468
273,002594.SZ,20220111,246.28,246.28,237.8,239.09,246.3,-7.21,-2.9273,212441.47,5100240.704
272,002594.SZ,20220112,246,256,244.31,256,239.09,16.91,7.0727,323602.24,8103336.076
271,002594.SZ,20220113,257.74,258.56,248.61,255.31,256,-0.69,-0.2695,217103.9,5516666.113
270,002594.SZ,20220114,250.8,257.3,250,253.14,255.31,-2.17,-0.8499,149548.15,3798549.606
269,002594.SZ,20220117,253.02,267.49,253.02,266.49,253.14,13.35,5.2738,241144.66,6349270.849
268,002594.SZ,20220118,266.41,268.96,262.3,266.08,266.49,-0.41,-0.1539,125054.43,3325099.879
267,002594.SZ,20220119,265.95,267.88,250.31,252.97,266.08,-13.11,-4.9271,231881.8,5960665.206
266,002594.SZ,20220120,252.1,253.71,247,251.07,252.97,-1.9,-0.7511,149986.47,3759819.343
265,002594.SZ,20220121,251.08,255.74,246.33,250.4,251.07,-0.67,-0.2669,112394.32,2822719.636
264,002594.SZ,20220124,246.08,252.88,244.27,251.4,250.4,1,0.3994,108376.86,2706367.141
263,002594.SZ,20220125,248,251,240,240.31,251.4,-11.09,-4.4113,172772.23,4222848.972
262,002594.SZ,20220126,245,251.38,242.31,249.49,240.31,9.18,3.8201,174445.84,4321964.224
261,002594.SZ,20220127,247,249.3,241,241.27,249.49,-8.22,-3.2947,132649.63,3242987.819
260,002594.SZ,20220128,239.98,242,219.76,226.8,241.27,-14.47,-5.9974,324373.11,7392709.579
259,002594.SZ,20220207,240.79,249.28,238.01,244.4,226.8,17.6,7.7601,251124.53,6117950.238
258,002594.SZ,20220208,243,243,230.64,236.97,244.4,-7.43,-3.0401,199039.53,4669048.973
257,002594.SZ,20220209,239.05,246.4,235.03,245.18,236.97,8.21,3.4646,199928.64,4854528.826
256,002594.SZ,20220210,246.77,248,238.1,240.12,245.18,-5.06,-2.0638,146284.6,3521519.984
255,002594.SZ,20220211,236.05,240.12,228.5,230.19,240.12,-9.93,-4.1354,199439.26,4646313.004
254,002594.SZ,20220214,230.2,235,225,231.98,230.19,1.79,0.7776,133199.49,3079221.402
253,002594.SZ,20220215,232.18,239.96,232.18,238.31,231.98,6.33,2.7287,158524.28,3757722.229
252,002594.SZ,20220216,242,244.99,240.39,240.6,238.31,2.29,0.9609,128724.91,3117890.74
251,002594.SZ,20220217,242.24,248.74,239,245.41,240.6,4.81,1.9992,191063.86,4670631.745
250,002594.SZ,20220218,241,245.39,240,242.96,245.41,-2.45,-0.9983,99104.66,2407158.413
249,002594.SZ,20220221,241,245.8,239.64,241.89,242.96,-1.07,-0.4404,109538.04,2657589.017
248,002594.SZ,20220222,239,239,234.3,237.45,241.89,-4.44,-1.8355,125452.11,2966441.429
247,002594.SZ,20220223,241.9,252.52,239.01,252,237.45,14.55,6.1276,291148.9,7232161.935
246,002594.SZ,20220224,248.11,251.78,241.58,244.86,252,-7.14,-2.8333,238219.88,5865805.706
245,002594.SZ,20220225,249.9,252.38,247.83,247.84,244.86,2.98,1.217,146013.53,3646918.799
244,002594.SZ,20220228,246.9,250.19,246,249.6,247.84,1.76,0.7101,118290.9,2936223.651
243,002594.SZ,20220301,255,256.61,249.25,251.78,249.6,2.18,0.8734,176519.58,4476714.982
242,002594.SZ,20220302,249,249.36,243.96,248.6,251.78,-3.18,-1.263,121242.47,2998567.642
241,002594.SZ,20220303,249.52,250.86,244,245.21,248.6,-3.39,-1.3636,99633.4,2449485.385
240,002594.SZ,20220304,237.31,241.86,230,233.8,245.21,-11.41,-4.6532,291706.34,6857430.687
239,002594.SZ,20220307,226.89,227.69,220.02,223.61,233.8,-10.19,-4.3584,236129.2,5286036.163
238,002594.SZ,20220308,221.08,225.49,210,216.19,223.61,-7.42,-3.3183,291499.34,6317187.685
237,002594.SZ,20220309,217,223.6,210,223.59,216.19,7.4,3.4229,251135.22,5484773.703
236,002594.SZ,20220310,232.91,233.43,229,229.1,223.59,5.51,2.4643,248342.83,5744789.049
235,002594.SZ,20220311,222,231.79,220.02,229.85,229.1,0.75,0.3274,186116.04,4186645.901
234,002594.SZ,20220314,225,225,219,219,229.85,-10.85,-4.7205,150840.61,3336922.826
233,002594.SZ,20220315,211.13,222,209.43,212.8,219,-6.2,-2.8311,198203.62,4269341.883
232,002594.SZ,20220316,221,230,214.2,229.43,212.8,16.63,7.8148,333766.27,7432043.601
231,002594.SZ,20220317,240.38,240.88,234.66,234.9,229.43,5.47,2.3842,315844.3,7518685.379
230,002594.SZ,20220318,234.9,238.87,232.05,234.5,234.9,-0.4,-0.1703,150548.56,3530653.259
229,002594.SZ,20220321,240,248.87,238.17,245.38,234.5,10.88,4.6397,279177.68,6829415.269
228,002594.SZ,20220322,245,247.4,242.02,244.8,245.38,-0.58,-0.2364,115079.07,2815900.951
227,002594.SZ,20220323,250,251,246.27,247.17,244.8,2.37,0.9681,148500.96,3696654.258
226,002594.SZ,20220324,243.7,250,242.4,247.08,247.17,-0.09,-0.0364,113681.27,2794432.827
225,002594.SZ,20220325,247.1,248.96,234.01,235.31,247.08,-11.77,-4.7636,208023.73,4984988.435
224,002594.SZ,20220328,234.9,234.9,228.88,230.4,235.31,-4.91,-2.0866,143103.54,3306510.715
223,002594.SZ,20220329,232.92,236.5,228.8,231,230.4,0.6,0.2604,138587.31,3224438.27
222,002594.SZ,20220330,227,237.02,222.22,237.02,231,6.02,2.6061,251259.96,5807876.452
221,002594.SZ,20220331,234.21,235,226.89,229.8,237.02,-7.22,-3.0462,161731.43,3721363.312
220,002594.SZ,20220401,226.79,239.56,226.6,235.96,229.8,6.16,2.6806,182948.05,4301758.39
219,002594.SZ,20220406,245,246,239.61,241.9,235.96,5.94,2.5174,205293.3,4976485.481
218,002594.SZ,20220407,240,245.3,239.01,240,241.9,-1.9,-0.7854,122699.53,2964659.964
217,002594.SZ,20220408,240.01,246.5,239.1,243.98,240,3.98,1.6583,171718.97,4185742.781
216,002594.SZ,20220411,240,241.48,229.5,233,243.98,-10.98,-4.5004,193070.07,4519392.606
215,002594.SZ,20220412,232,238.56,231.2,238.16,233,5.16,2.2146,128888.67,3034073.575
214,002594.SZ,20220413,235.02,241.95,233.01,237,238.16,-1.16,-0.4871,109672.51,2614119.776
213,002594.SZ,20220414,242,244.99,240.87,241.29,237,4.29,1.8101,131637.5,3198011.078
212,002594.SZ,20220415,238.5,240,232.75,236.2,241.29,-5.09,-2.1095,129239.31,3049510.858
211,002594.SZ,20220418,234.79,241,230,239.1,236.2,2.9,1.2278,110592.38,2613800.696
210,002594.SZ,20220419,243.16,250.9,243.13,244.86,239.1,5.76,2.409,207781.54,5140377.761
209,002594.SZ,20220420,247.66,248.33,240.86,241.78,244.86,-3.08,-1.2579,130780.93,3187144.24
208,002594.SZ,20220421,237.77,240.77,232.1,234.04,241.78,-7.74,-3.2013,154048.76,3625535.264
207,002594.SZ,20220422,230.01,235.66,229.06,235.4,234.04,1.36,0.5811,108162.19,2522975.078
206,002594.SZ,20220425,230,236.44,226.62,227.5,235.4,-7.9,-3.356,161889.17,3741670.659
205,002594.SZ,20220426,228.99,235.85,228.43,231.81,227.5,4.31,1.8945,158176.2,3670084.739
204,002594.SZ,20220427,226.61,235.81,218.81,235.01,231.81,3.2,1.3804,254341.67,5794106.499
203,002594.SZ,20220428,234.6,235.5,230,231.98,235.01,-3.03,-1.2893,146372.13,3405250.082
202,002594.SZ,20220429,233.8,243.83,230.75,243,231.98,11.02,4.7504,248163.1,5912448.351
201,002594.SZ,20220505,246.2,252.39,241.77,248.8,243,5.8,2.3868,253258.79,6282897.504
200,002594.SZ,20220506,241.02,246,240.1,242.08,248.8,-6.72,-2.701,145488.66,3530097.27
199,002594.SZ,20220509,231,236.89,231,232.73,242.08,-9.35,-3.8624,175116.35,4086613.976
198,002594.SZ,20220510,224.1,233.66,222.28,233.33,232.73,0.6,0.2578,209696.64,4792958.516
197,002594.SZ,20220511,232,256.66,231.5,252.7,233.33,19.37,8.3015,459525.71,11482476.08
196,002594.SZ,20220512,249.99,257.7,248.71,254.09,252.7,1.39,0.5501,241156.06,6107994.847
195,002594.SZ,20220513,259.8,271.5,255.91,270.08,254.09,15.99,6.293,367120.61,9733352.389
194,002594.SZ,20220516,271.11,273,265.3,267.12,270.08,-2.96,-1.096,202368.8,5441551.55
193,002594.SZ,20220517,268.98,285,268.5,282.5,267.12,15.38,5.7577,293489.03,8193618.911
192,002594.SZ,20220518,282.5,288,279,281.42,282.5,-1.08,-0.3823,205302.7,5812000.946
191,002594.SZ,20220519,275.31,285.35,274.3,284.51,281.42,3.09,1.098,173636.51,4879756.543
190,002594.SZ,20220520,287.01,291.61,281.2,287.7,284.51,3.19,1.1212,178683.36,5125699.547
189,002594.SZ,20220523,292.7,298,287.81,295.2,287.7,7.5,2.6069,255588.16,7496178.213
188,002594.SZ,20220524,290,292.96,281,281,295.2,-14.2,-4.8103,290496.53,8303003.901
187,002594.SZ,20220525,281.26,288.65,278.03,287.2,281,6.2,2.2064,230857.73,6563211.987
186,002594.SZ,20220526,287.37,291.22,282.5,286.64,287.2,-0.56,-0.195,143094.99,4106312.149
185,002594.SZ,20220527,292.95,297.61,286.65,288.88,286.64,2.24,0.7815,153186.85,4467796.259
184,002594.SZ,20220530,292,299.7,291.08,298.12,288.88,9.24,3.1986,218523.5,6485731.977
183,002594.SZ,20220531,300,300.96,293.51,295.91,298.12,-2.21,-0.7413,177011.19,5242211.08
182,002594.SZ,20220601,298,304.8,293.12,299.98,295.91,4.07,1.3754,216911.75,6501902.117
181,002594.SZ,20220602,296,305,295.22,301.02,299.98,1.04,0.3467,177727.77,5355773.611
180,002594.SZ,20220606,304,320.47,302.55,318.23,301.02,17.21,5.7172,294757.29,9260502.507
179,002594.SZ,20220607,318,319.87,311.11,314.89,318.23,-3.34,-1.0496,200220.89,6296538.086
178,002594.SZ,20220608,318.6,328.06,313.01,327.41,314.89,12.52,3.976,290513.4,9321932.807
177,002594.SZ,20220609,334.03,334.8,321,322.41,327.41,-5,-1.5271,307541.72,10050640.39
176,002594.SZ,20220610,321.5,350,321.06,348.8,322.41,26.39,8.1852,438249,14790622.52
175,002594.SZ,20220613,346,358.86,340.6,348.8,348.8,0,0,360681.32,12573534.32
174,002594.SZ,20220614,342,344.79,327.23,343.59,348.8,-5.21,-1.4937,404789.34,13634616.45
173,002594.SZ,20220615,343.97,346.23,332.52,335,343.59,-8.59,-2.5001,303947.87,10285857.7
172,002594.SZ,20220616,335.5,342.7,333.41,336,335,1,0.2985,190172.45,6410739.474
171,002594.SZ,20220617,330.1,341.2,327.07,338,336,2,0.5952,262147.59,8830738.834
170,002594.SZ,20220620,338.08,348.66,335.02,342.18,338,4.18,1.2367,245415.57,8405361.56
169,002594.SZ,20220621,339.76,341.8,332.2,341,342.18,-1.18,-0.3448,197827.39,6666969.509
168,002594.SZ,20220622,342.42,347.63,338,339.88,341,-1.12,-0.3284,186787.83,6412052.153
167,002594.SZ,20220623,344.7,354.05,338,353.5,339.88,13.62,4.0073,323142.26,11251775.97
166,002594.SZ,20220624,352.99,356.28,346.01,351.05,353.5,-2.45,-0.6931,235983.55,8273168.197
165,002594.SZ,20220627,352.07,357,348.33,349.69,351.05,-1.36,-0.3874,217155.24,7630684.845
164,002594.SZ,20220628,347,358.8,342.71,352.9,349.69,3.21,0.918,269634.71,9447959.128
163,002594.SZ,20220629,349.99,350,331.49,331.61,352.9,-21.29,-6.0329,361146.02,12246017.2
162,002594.SZ,20220630,331,339.35,330,333.49,331.61,1.88,0.5669,220144.78,7372602.921
161,002594.SZ,20220701,332.18,333,320.1,329.2,333.49,-4.29,-1.2864,234112.63,7658689.348
160,002594.SZ,20220704,332,338.21,330.2,336.16,329.2,6.96,2.1142,209512.06,7020823.754
159,002594.SZ,20220705,337,340.6,329.59,333.89,336.16,-2.27,-0.6753,173757.03,5819208.075
158,002594.SZ,20220706,333.8,340.6,331.99,336.1,333.89,2.21,0.6619,183434.2,6179119.713
157,002594.SZ,20220707,337.7,351.95,333.37,349.38,336.1,13.28,3.9512,304648.74,10511816.69
156,002594.SZ,20220708,349.38,351.88,338,338,349.38,-11.38,-3.2572,190477.57,6547699.048
155,002594.SZ,20220711,335.88,335.88,318.88,324.3,338,-13.7,-4.0533,254317.44,8284856.773
