,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
278,300750.SZ,20220104,606,607,561,568.88,588,-19.12,-3.2517,174568.45,9975828.427
277,300750.SZ,20220105,566.4,566.88,540,547.5,568.88,-21.38,-3.7583,166578.81,9167983.226
276,300750.SZ,20220106,538.51,547,531.79,541.47,547.5,-6.03,-1.1014,138826.02,7480050.944
275,300750.SZ,20220107,550,556,528,539.9,541.47,-1.57,-0.29,131694.68,7135966.663
274,300750.SZ,20220110,534.98,549,524.24,538.4,539.9,-1.5,-0.2778,148629.06,7964179.734
273,300750.SZ,20220111,541.11,549.9,536.41,536.7,538.4,-1.7,-0.3158,84722.77,4582697.695
272,300750.SZ,20220112,551,569.96,550.9,565.04,536.7,28.34,5.2804,191641.63,10752974.05
271,300750.SZ,20220113,571,582,554.74,565,565.04,-0.04,-0.0071,138997.42,7924626.26
270,300750.SZ,20220114,557.06,580.8,556,577.4,565,12.4,2.1947,116128.18,6663124.572
269,300750.SZ,20220117,588.86,608.5,578.8,606.85,577.4,29.45,5.1005,143528.44,8591412.091
268,300750.SZ,20220118,606.85,607.77,586,586.8,606.85,-20.05,-3.3039,107016.72,6345099.027
267,300750.SZ,20220119,589.5,595,558.5,569.99,586.8,-16.81,-2.8647,144874.39,8273655.033
266,300750.SZ,20220120,566,578,563.35,569.13,569.99,-0.86,-0.1509,80653.61,4600905.692
265,300750.SZ,20220121,563,579.6,552,569.49,569.13,0.36,0.0633,99173.98,5620817.937
264,300750.SZ,20220124,564,592.26,559.01,580.99,569.49,11.5,2.0194,115621.29,6686725.178
263,300750.SZ,20220125,573.21,583.33,565,565.6,580.99,-15.39,-2.6489,71992.29,4119696.709
262,300750.SZ,20220126,571.8,590.6,566.5,587.5,565.6,21.9,3.872,116036.76,6718821.593
261,300750.SZ,20220127,585,594.99,570,574.99,587.5,-12.51,-2.1294,129481.88,7546107.243
260,300750.SZ,20220128,594.6,604,570.44,592.6,574.99,17.61,3.0627,243317.34,14395957.44
259,300750.SZ,20220207,606,609.98,574.18,579.44,592.6,-13.16,-2.2207,145288.59,8588397.059
258,300750.SZ,20220208,579.44,579.44,521.82,540.86,579.44,-38.58,-6.6582,206502.97,11166726.69
257,300750.SZ,20220209,539,550.9,527,547.2,540.86,6.34,1.1722,114947.12,6212329.182
256,300750.SZ,20220210,551.8,552,499.89,518.1,547.2,-29.1,-5.318,292335.87,14959750.64
255,300750.SZ,20220211,506,513.58,489,489.99,518.1,-28.11,-5.4256,239798.47,11994983.92
