报表日期,20221231,20220930,20220630,20220331,20211231,20210930,20210630,20210331,20201231,20200930,20200630,20200331,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20151231,20141231,19700101
单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
四、利润总额,36672856200,22327115300,11709774000,2480356100,19887129100,10873688199,6334920350,2795578447,6982553409,4434441166,2596655551,1096976641,5760764564,4457691988,2804966075,1322417314,4204813252,3083424142,1220674889,541008201.6,4848100224,3302209721,2332816877,30370418.69,3400213705,1100032144,62430069.38,0.0
减：所得税费用,3215712700,2694951500,2039812900,504896900,2026399000,1728706696,1009812061,451709061.4,878635356.8,752230680.2,452737521.3,191963042.8,748090666.4,697474456.6,458470774.1,205595113.4,468916764.2,441187671.1,150781194.5,71743712.87,654043646.6,470922061,312073095.2,13875218.84,481776851,149451069.1,6866277.79,0.0
五、净利润,33457143500,19632163800,9669961200,1975459100,17860730100,9144981503,5325108289,2343869385,6103918052,3682210486,2143918030,905013597.8,5012673898,3760217531,2346495300,1116822201,3735896488,2642236471,1069893694,469264488.7,4194056578,2831287660,2020743781,16495199.85,2918436854,950581074.5,55563791.59,0.0
归属于母公司所有者的净利润,30729163500,17591591700,8168034600,1492804600,15931317900,7751145659,4483787564,1954417237,5583338710,3356875044,1937281091,742043183.2,4560307433,3464305268,2102435143,1047233227,3387035208,2378500010,910954288,413347159.2,3877954870,2570510205,1856935080,-11687915.1,2851821419,930646375.1,54425751.28,0.0
少数股东损益,2727980100,2040572100,1501926500,482654500,1929412300,1393835845,841320725,389452148.7,520579342.1,325335442.5,206636939.6,162970414.6,452366465.2,295912263.9,244060157.7,69588973.85,348861280.1,263736460.5,158939406.3,55917329.49,316101708,260777455.1,163808700.9,35990121.09,66615435.03,19934699.35,1138040.31,0.0
六、每股收益,,,,,,,,,,,,,,,,,,,,,,,,,,,,
基本每股收益(元/股),12.9178,7.4704,3.5233,0.6439,6.876,3.3464,1.9416,0.8463,2.4942,1.5243,0.8833,0.3406,2.0937,1.6002,0.9674,0.48,1.6412,1.17,0.4659,0.212,2.0084,1.33,0.974,-0.0189,1.8736,0.7755,0,0.0
稀释每股收益(元/股),12.8795,7.4317,3.5047,0.6405,6.8392,3.3323,1.9337,0.843,2.4848,1.519,0.8805,0.3396,2.0887,1.5959,0.9666,0.48,1.6407,1.17,0,0,0,1.33,0,0,0,0,0,0.0
七、其他综合收益,5046510500,3855361800,1687656700,-1562500300,3013987200,1207017838,824254440.3,-235029090.8,505828698.8,287180494.5,42364310.59,-118995658.5,957658852.9,971764392.3,235561659.1,161477040.7,-585339219.5,-208586704.7,-176351133.3,3179274.31,246933121.2,344145542.6,311938229.5,81363.73,888062.23,494869.71,183958.4,0.0
八、综合收益总额,38503654000,23487525600,11357617900,412958800,20874717400,10351999341,6149362729,2108840294,6609746751,3969390981,2186282341,786017939.4,5970332751,4731981924,2582056960,1278299242,3150557268,2433649766,893542561,472443763,4440989699,3175433203,2332682011,24383569.72,2919324917,951075944.2,55747749.99,0.0
归属于母公司所有者的综合收益总额,35452143600,21208643400,10001392700,574861600,19012644700,8902714770,5309066568,1718302000,6089512016,3629938926,1967490112,651959025.8,5517966286,4436069660,2337996802,1208710268,2801695988,2169913305,734603154.7,416526433.5,4124887991,2914655748,2168873310,-11606551.37,2852709481,931141244.8,54609709.68,0.0
归属于少数股东的综合收益总额,3051510400,2278882300,1356225200,-161902800,1862072600,1449284571,840296161.3,390538294.5,520234734.8,339452054.9,218792228.3,134058913.6,452366465.2,295912263.9,244060157.7,69588973.85,348861280.1,263736460.5,158939406.3,55917329.49,316101708,260777455.1,163808700.9,35990121.09,66615435.03,19934699.35,1138040.31,0.0
