长期股权投资,17595207400,16148787800,14187663100,12380408000,10949033600,10031478678,9240532692,5574560949,4813072905,2311733017,1527611205,1520944750,1540452828,1176625150,947416921.8,1047709788,965198180.8,984646309.7,913752605.6,780030501.3,791027220.9,310725425.7,169658176.4,0,227224102,0.0
投资性房地产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
在建工程(合计),35397650600,38870681700,37463214300,28893882000,30998159500,21495217685,15450275779,5602125260,5750351820,5656172337,3430354308,1756814918,1996524778,2831712606,3506528066,4002146736,1623838223,2612119400,2645070048,3122587040,2974364031,0,0,0,0,0.0
在建工程,35397650600,0,37463214300,0,30998159500,0,15450275779,0,5750351820,0,3430354308,0,1996524778,0,3506528066,0,1623838223,2612119400,2645070048,3122587040,2974364031,4237842735,1226129855,474893794.6,174061216.4,0.0
工程物资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
固定资产及清理(合计),89070834700,74307767700,62198685500,56266248400,41275333300,31850222747,25132132439,20760089317,19621648443,17198092089,16402618133,16936823090,17417348593,16885925398,14883961290,12718283064,11574665757,10313102145,9819507471,8446673663,8219496582,0,0,0,0,0.0
固定资产净额,89070834700,0,62198685500,0,41275333300,0,25132132439,0,19621648443,0,16402618133,0,17417348593,0,14883961290,0,11574665757,10313102145,9819507471,8446673663,8219496582,5635475096,3727473866,1313098300,242838681.1,0.0
固定资产清理,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6710.03,0,0.0
生产性生物资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
公益性生物资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
油气资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
使用权资产,849134000,626128700,660378000,654944900,678625300,325897806.2,237142951.7,233829739.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
无形资产,9539963200,7989903700,6815918200,5357768600,4479606400,3530624985,3395293148,2527779959,2517935725,2470422537,2423107314,2331373471,2302317207,1518584143,1555293802,1331981184,1346171137,1362641805,1384785545,1390279968,1408760249,1162449059,621645950.3,502758023.9,237605481.1,0.0
开发支出,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
商誉,704065200,1002941600,1002941600,653619200,527850700,349692478.4,329506902.8,147951887.2,147951887.2,147951887.2,147951887.2,147951887.2,147951887.2,100419270.8,100419270.8,100419270.8,100419270.8,100419270.8,100419270.8,100419270.8,100419270.8,100419270.8,100419270.8,100419270.8,0,0.0
长期待摊费用,2294776000,1809975400,1666427600,1708148800,1264339100,755110152.8,478944306.4,420276295,363551717,342491525.8,359696314.6,375597490.8,394096018.1,341847642,316656012.1,320180603.5,305828515.4,176881170.5,158460787.9,163939751,139310483.5,48928917.03,14206421.31,6133369.98,302589.41,0.0
递延所得税资产,9483660400,7347010300,6175703600,6201003000,5542554400,4311764310,3890656232,3497853312,3167109948,2535329792,2350468846,2277794465,2079210533,2055036261,1736570054,1481495508,1240737743,902206805.1,708272329.3,580079605.6,510045198.3,332451118.6,264912007.5,135241432.4,25097812.88,0.0
其他非流动资产,25101316500,29358395300,29115145600,27208014400,20575419100,21438993971,12646811293,11262011783,5002631588,3877580434,3992774774,3179996568,2248533971,1118431571,1425909206,1008321048,1298901336,415681574.9,293403603.5,625001731.4,525068808.1,818438956.1,559144024.1,630939035.4,70316438.57,0.0
非流动资产合计,2.13E+11,1.97E+11,1.78E+11,1.54E+11,1.30E+11,99856957130,74787140887,52706588084,43753437619,36028386135,31906951088,29781840068,29657039538,27622355108,26006748934,23580574965,19972281261,18617027251,17752830161,17171727531,16629782844,14194234078,6826989572,3168489937,982446321.4,0.0
资产总计,6.01E+11,5.42E+11,4.81E+11,3.76E+11,3.08E+11,2.49E+11,2.08E+11,1.73E+11,1.57E+11,1.38E+11,1.00E+11,1.01E+11,1.01E+11,96311356659,89888631587,84101272460,73883704017,63790614595,55443992871,47823235529,49662885758,40883616375,28588314344,8672957501,2875108628,0.0
流动负债,,,,,,,,,,,,,,,,,,,,,,,,,,
短期借款,14415402500,14104703300,14937309400,15403153700,12123056900,8648141084,7936400830,6213829887,6335080182,4361165245,2876186024,2489349924,2125646682,1340563717,1294039502,1403970598,1180092100,1248978939,1401956157,1163670014,2245096001,1257975977,1226587999,576558942.9,197129703.9,0.0
交易性金融负债,0,0,0,0,0,0,0,0,0,0,0,0,286915936,314247518.1,314247518.1,314247518.1,314247518.1,0,0,0,0,0,0,0,0,0.0
应付票据及应付账款,2.21E+11,2.10E+11,1.80E+11,1.48E+11,1.07E+11,78226256294,59520529904,41191034701,31271433835,22604131936,20260166956,23758966443,28112335291,28134094664,27158389509,24124867220,18898203154,15096667354,12416461535,11671559123,13790972912,0,0,0,0,0.0
应付票据,1.26E+11,1.19E+11,1.08E+11,83593860700,58405751300,45594390099,33850033847,23346295001,15636589527,11510910950,12821286468,16185682772,17420197790,17244910401,17059577652,0,11841128077,0,6675843484,7362937605,8812715586,5427777224,4394039469,1041204474,104420606,0.0
应付账款,94534976000,90588434600,72521038800,64325631500,48784286300,32631866194,25670496056,17844739700,15634844309,11093220985,7438880488,7573283671,10692137501,10889184264,10098811857,0,7057075077,0,5740618052,4308621518,4978257325,6190098390,3173395265,1472399950,384712991.5,0.0
